id,child_id,start,end,type,method,amount,notes,tags
2438,1,26/02/2024 08:15,26/02/2024 08:30,breast milk,parent fed,70,,
2437,1,25/02/2024 19:01,25/02/2024 19:36,breast milk,right breast,,,
2436,1,25/02/2024 17:12,25/02/2024 17:16,breast milk,left breast,,,
2435,1,25/02/2024 15:40,25/02/2024 15:51,breast milk,right breast,,,
2434,1,25/02/2024 14:44,25/02/2024 14:44,breast milk,right breast,,,
2433,1,25/02/2024 11:10,25/02/2024 11:10,breast milk,left breast,,,
2432,1,25/02/2024 09:16,25/02/2024 09:27,breast milk,right breast,,,
2431,1,25/02/2024 08:15,25/02/2024 08:17,breast milk,left breast,,,
2430,1,24/02/2024 17:41,24/02/2024 18:06,breast milk,left breast,,,
2429,1,24/02/2024 15:03,24/02/2024 15:17,breast milk,left breast,,,
2428,1,24/02/2024 14:06,24/02/2024 14:16,breast milk,right breast,,,
2427,1,24/02/2024 11:22,24/02/2024 11:22,breast milk,right breast,,,
2426,1,24/02/2024 09:22,24/02/2024 09:22,breast milk,left breast,,,
2425,1,24/02/2024 07:16,24/02/2024 07:16,breast milk,right breast,,,
2424,1,23/02/2024 18:36,23/02/2024 19:08,breast milk,right breast,,,
2423,1,23/02/2024 17:12,23/02/2024 18:36,breast milk,left breast,,,
2414,1,23/02/2024 15:17,23/02/2024 15:24,breast milk,right breast,,,
2422,1,23/02/2024 13:20,23/02/2024 13:26,breast milk,parent fed,80,,
2421,1,23/02/2024 11:20,23/02/2024 11:31,breast milk,parent fed,85,,
2413,1,23/02/2024 03:54,23/02/2024 04:08,breast milk,right breast,,,
2412,1,22/02/2024 19:09,22/02/2024 19:41,breast milk,left breast,,,
2411,1,22/02/2024 18:17,22/02/2024 18:20,breast milk,left breast,,,
2410,1,22/02/2024 17:05,22/02/2024 17:11,breast milk,right breast,,,
2420,1,22/02/2024 15:55,22/02/2024 15:59,breast milk,parent fed,80,,
2419,1,22/02/2024 13:55,22/02/2024 13:58,breast milk,parent fed,100,,
2418,1,22/02/2024 11:50,22/02/2024 11:58,breast milk,parent fed,80,,
2417,1,22/02/2024 10:30,22/02/2024 10:38,breast milk,parent fed,40,,
2416,1,22/02/2024 09:50,22/02/2024 09:57,breast milk,parent fed,20,,
2415,1,22/02/2024 08:40,22/02/2024 08:56,breast milk,parent fed,30,,
2409,1,22/02/2024 06:01,22/02/2024 06:26,breast milk,left breast,,,
2408,1,22/02/2024 01:09,22/02/2024 01:32,breast milk,right breast,,,
2405,1,21/02/2024 18:57,21/02/2024 19:29,breast milk,right breast,,,
2407,1,21/02/2024 15:30,21/02/2024 15:40,breast milk,parent fed,85,,
2406,1,21/02/2024 13:30,21/02/2024 13:40,breast milk,parent fed,70,,
2404,1,21/02/2024 10:55,21/02/2024 10:56,breast milk,parent fed,65,,
2403,1,21/02/2024 09:29,21/02/2024 09:38,breast milk,parent fed,95,,
2402,1,21/02/2024 06:20,21/02/2024 06:30,breast milk,right breast,,,
2401,1,21/02/2024 05:30,21/02/2024 05:40,breast milk,right breast,,,
2400,1,21/02/2024 04:30,21/02/2024 04:40,breast milk,left breast,,,
2399,1,21/02/2024 02:50,21/02/2024 03:00,breast milk,right breast,,,
2398,1,21/02/2024 01:30,21/02/2024 01:40,breast milk,left breast,,,
2397,1,21/02/2024 00:01,21/02/2024 00:15,breast milk,right breast,,,
2396,1,20/02/2024 22:30,20/02/2024 22:40,breast milk,left breast,,,
2395,1,20/02/2024 18:54,20/02/2024 19:12,breast milk,left breast,,,
2394,1,20/02/2024 17:30,20/02/2024 18:18,breast milk,right breast,,,
2393,1,20/02/2024 17:20,20/02/2024 17:26,breast milk,right breast,,,
2392,1,20/02/2024 16:25,20/02/2024 16:30,breast milk,parent fed,55,,
2391,1,20/02/2024 15:26,20/02/2024 15:35,breast milk,parent fed,90,,
2390,1,20/02/2024 12:50,20/02/2024 13:10,breast milk,parent fed,65,,
2389,1,20/02/2024 10:15,20/02/2024 10:30,breast milk,parent fed,80,,
2388,1,20/02/2024 08:29,20/02/2024 08:43,breast milk,parent fed,60,,
2387,1,20/02/2024 06:31,20/02/2024 06:31,breast milk,right breast,,,
2386,1,20/02/2024 02:02,20/02/2024 02:17,breast milk,left breast,,,
2385,1,19/02/2024 23:56,20/02/2024 02:01,breast milk,right breast,,,
2384,1,19/02/2024 19:28,19/02/2024 20:53,breast milk,right breast,,,
2383,1,19/02/2024 19:10,19/02/2024 19:27,breast milk,left breast,,,
2381,1,19/02/2024 17:11,19/02/2024 17:16,breast milk,left breast,,,
2382,1,19/02/2024 15:30,19/02/2024 15:40,breast milk,parent fed,95,,
2380,1,19/02/2024 12:53,19/02/2024 13:04,breast milk,parent fed,100,,
2379,1,19/02/2024 10:19,19/02/2024 10:26,breast milk,parent fed,60,,
2378,1,19/02/2024 09:28,19/02/2024 09:34,breast milk,parent fed,80,,
2377,1,19/02/2024 06:30,19/02/2024 06:30,breast milk,left breast,,,
2376,1,19/02/2024 05:07,19/02/2024 05:25,breast milk,right breast,,,
2375,1,19/02/2024 02:56,19/02/2024 02:58,breast milk,left breast,,,
2374,1,18/02/2024 19:10,18/02/2024 19:40,breast milk,right breast,,,
2373,1,18/02/2024 18:58,18/02/2024 19:10,breast milk,left breast,,,
2372,1,18/02/2024 16:52,18/02/2024 18:54,breast milk,right breast,,,
2371,1,18/02/2024 14:57,18/02/2024 15:24,breast milk,left breast,,,
2370,1,18/02/2024 13:01,18/02/2024 13:04,breast milk,right breast,,,
2369,1,18/02/2024 09:46,18/02/2024 09:51,breast milk,left breast,,,
2368,1,18/02/2024 08:50,18/02/2024 09:00,breast milk,left breast,,,
2367,1,18/02/2024 05:25,18/02/2024 05:25,breast milk,right breast,,,
2366,1,18/02/2024 03:30,18/02/2024 04:47,breast milk,left breast,,,
2365,1,18/02/2024 00:55,18/02/2024 01:09,breast milk,right breast,,,
2364,1,17/02/2024 19:35,17/02/2024 19:54,breast milk,right breast,,,
2363,1,17/02/2024 19:17,17/02/2024 19:34,breast milk,left breast,,,
2362,1,17/02/2024 17:28,17/02/2024 17:33,breast milk,right breast,,,
2361,1,17/02/2024 14:41,17/02/2024 15:29,breast milk,left breast,,,
2360,1,17/02/2024 12:59,17/02/2024 13:03,breast milk,right breast,,,
2359,1,17/02/2024 08:00,17/02/2024 08:05,breast milk,left breast,,,
2358,1,17/02/2024 04:11,17/02/2024 04:19,breast milk,right breast,,,
2357,1,17/02/2024 03:59,17/02/2024 04:07,breast milk,left breast,,,
2356,1,16/02/2024 19:06,16/02/2024 19:43,breast milk,right breast,,,
2355,1,16/02/2024 17:00,16/02/2024 17:25,breast milk,left breast,,,
2354,1,16/02/2024 15:54,16/02/2024 16:01,breast milk,right breast,,,
2353,1,16/02/2024 13:42,16/02/2024 13:49,breast milk,left breast,,,
2352,1,16/02/2024 11:21,16/02/2024 11:22,breast milk,right breast,,,
2351,1,16/02/2024 10:13,16/02/2024 10:15,breast milk,left breast,,,
2349,1,16/02/2024 07:24,16/02/2024 07:28,breast milk,right breast,,,
2350,1,16/02/2024 04:56,16/02/2024 05:10,breast milk,left breast,,,
2348,1,16/02/2024 03:11,16/02/2024 03:25,breast milk,right breast,,,
2347,1,15/02/2024 18:45,15/02/2024 19:25,breast milk,left breast,,,
2346,1,15/02/2024 17:26,15/02/2024 18:45,breast milk,right breast,,,
2345,1,15/02/2024 17:19,15/02/2024 17:26,breast milk,left breast,,,
2344,1,15/02/2024 15:45,15/02/2024 15:59,breast milk,parent fed,85,,
2343,1,15/02/2024 13:00,15/02/2024 13:11,breast milk,parent fed,110,,
2342,1,15/02/2024 10:32,15/02/2024 10:39,breast milk,parent fed,60,,
2341,1,15/02/2024 09:00,15/02/2024 09:13,breast milk,parent fed,80,,
2340,1,15/02/2024 05:33,15/02/2024 05:47,breast milk,left breast,,,
2339,1,15/02/2024 02:22,15/02/2024 02:22,breast milk,left breast,,,
2338,1,15/02/2024 01:28,15/02/2024 01:58,breast milk,right breast,,,
2337,1,14/02/2024 18:55,14/02/2024 19:22,breast milk,left breast,,,
2336,1,14/02/2024 17:12,14/02/2024 17:16,breast milk,right breast,,,
2335,1,14/02/2024 16:38,14/02/2024 16:38,breast milk,parent fed,65,,
2334,1,14/02/2024 14:50,14/02/2024 15:02,breast milk,parent fed,80,,
2333,1,14/02/2024 11:47,14/02/2024 11:47,breast milk,parent fed,60,,
2332,1,14/02/2024 10:30,14/02/2024 10:31,breast milk,parent fed,60,,
2331,1,14/02/2024 08:51,14/02/2024 08:51,breast milk,parent fed,55,,
2330,1,14/02/2024 06:20,14/02/2024 06:24,breast milk,right breast,,,
2329,1,14/02/2024 02:14,14/02/2024 03:44,breast milk,right breast,,,
2328,1,14/02/2024 00:01,14/02/2024 00:10,breast milk,left breast,,,
2327,1,13/02/2024 19:04,13/02/2024 19:35,breast milk,right breast,,,
2326,1,13/02/2024 17:17,13/02/2024 17:30,breast milk,left breast,,,
2325,1,13/02/2024 14:45,13/02/2024 15:04,breast milk,parent fed,55,,
2324,1,13/02/2024 12:33,13/02/2024 12:33,breast milk,parent fed,55,,
2323,1,13/02/2024 11:31,13/02/2024 11:31,breast milk,parent fed,60,,
2322,1,13/02/2024 09:35,13/02/2024 09:46,breast milk,parent fed,40,,
2321,1,13/02/2024 06:27,13/02/2024 06:27,breast milk,left breast,,,
2320,1,13/02/2024 04:47,13/02/2024 05:02,breast milk,right breast,,,
2319,1,13/02/2024 00:50,13/02/2024 01:07,breast milk,left breast,,,
2318,1,12/02/2024 19:04,12/02/2024 21:18,breast milk,right breast,,,
2317,1,12/02/2024 17:04,12/02/2024 17:18,breast milk,left breast,,,
2316,1,12/02/2024 16:06,12/02/2024 16:11,breast milk,right breast,,,
2315,1,12/02/2024 13:14,12/02/2024 13:17,breast milk,left breast,,,
2314,1,12/02/2024 11:07,12/02/2024 11:17,breast milk,right breast,,,
2313,1,12/02/2024 09:55,12/02/2024 10:04,breast milk,left breast,,,
2312,1,11/02/2024 23:00,11/02/2024 23:54,breast milk,left breast,,,
2311,1,11/02/2024 19:02,11/02/2024 19:31,breast milk,right breast,,,
2310,1,11/02/2024 18:05,11/02/2024 18:05,breast milk,left breast,,,
2309,1,11/02/2024 16:29,11/02/2024 16:29,breast milk,right breast,,,
